Translate these Legado e-book app strings from Chinese to English.

**CONTEXT**: Legado is an Android e-book reader app with features like:
- Book sources management
- Reading interface customization  
- Text-to-speech (TTS)
- Import/Export functionality
- Web services

**REQUIREMENTS**:
- Natural English for mobile app users
- Keep CSV format exactly the same
- Fill in the "translation" column only
- Maintain placeholders like %s, %d, \n
- Use consistent terminology

**COMMON TERMS**:
- 阅读 = Reading
- 书源 = Book Sources
- 书架 = Bookshelf  
- 朗读 = Read Aloud
- 设置 = Settings

CSV Data:
id,type,file_path,line_number,string_name,original_text,translation,context,notes
5751,source_code,app\src\main\java\io\legado\app\model\analyzeRule\QueryTTF.java,787,,表示这个字形不存在,,ntinue;   // 当前loca与下一个loca相同，表示这个字形不存在,Chinese parts: 表示这个字形不存在
5752,source_code,app\src\main\java\io\legado\app\model\analyzeRule\QueryTTF.java,793,,如果字形轮廓数大于非复合字形中包含的最大轮廓数,,axp.maxContours) continue; // 如果字形轮廓数大于非复合字形中包含的最大轮廓数，则说明该字形无效。,Chinese parts: 如果字形轮廓数大于非复合字形中包含的最大轮廓数
5753,source_code,app\src\main\java\io\legado\app\model\analyzeRule\QueryTTF.java,793,,则说明该字形无效,,e; // 如果字形轮廓数大于非复合字形中包含的最大轮廓数，则说明该字形无效。,Chinese parts: 则说明该字形无效
5754,source_code,app\src\main\java\io\legado\app\model\analyzeRule\QueryTTF.java,831,,点位数据重复上一次数据,,mple.xCoordinates[n] = 0;  // 点位数据重复上一次数据，那么相对数据变化量就是0,Chinese parts: 点位数据重复上一次数据
5755,source_code,app\src\main\java\io\legado\app\model\analyzeRule\QueryTTF.java,831,,那么相对数据变化量就是,,nates[n] = 0;  // 点位数据重复上一次数据，那么相对数据变化量就是0,Chinese parts: 那么相对数据变化量就是
5756,source_code,app\src\main\java\io\legado\app\model\analyzeRule\QueryTTF.java,849,,点位数据重复上一次数据,,mple.yCoordinates[n] = 0;  // 点位数据重复上一次数据，那么相对数据变化量就是0,Chinese parts: 点位数据重复上一次数据
5757,source_code,app\src\main\java\io\legado\app\model\analyzeRule\QueryTTF.java,849,,那么相对数据变化量就是,,nates[n] = 0;  // 点位数据重复上一次数据，那么相对数据变化量就是0,Chinese parts: 那么相对数据变化量就是
5758,source_code,app\src\main\java\io\legado\app\model\analyzeRule\QueryTTF.java,915,,过滤不存在的字体轮廓,,h == null) return null;    // 过滤不存在的字体轮廓,Chinese parts: 过滤不存在的字体轮廓
5759,source_code,app\src\main\java\io\legado\app\model\analyzeRule\QueryTTF.java,987,,不能用作,,== null) continue;   // null 不能用作hashmap的key,Chinese parts: 不能用作
5760,source_code,app\src\main\java\io\legado\app\model\analyzeRule\QueryTTF.java,987,,的,,ontinue;   // null 不能用作hashmap的key,Chinese parts: 的
5761,source_code,app\src\main\java\io\legado\app\model\analyzeRule\QueryTTF.java,1005,,如果找不到,,(result == null) return 0; // 如果找不到Unicode对应的轮廓索引，就返回默认值0,Chinese parts: 如果找不到
5762,source_code,app\src\main\java\io\legado\app\model\analyzeRule\QueryTTF.java,1005,,对应的轮廓索引,,ull) return 0; // 如果找不到Unicode对应的轮廓索引，就返回默认值0,Chinese parts: 对应的轮廓索引
5763,source_code,app\src\main\java\io\legado\app\model\analyzeRule\QueryTTF.java,1005,,就返回默认值,,urn 0; // 如果找不到Unicode对应的轮廓索引，就返回默认值0,Chinese parts: 就返回默认值
5764,source_code,app\src\main\java\io\legado\app\model\analyzeRule\QueryTTF.java,1027,,如果轮廓数据找不到对应的,,(result == null) return 0; // 如果轮廓数据找不到对应的Unicode，就返回默认值0,Chinese parts: 如果轮廓数据找不到对应的
5765,source_code,app\src\main\java\io\legado\app\model\analyzeRule\QueryTTF.java,1027,,就返回默认值,,urn 0; // 如果轮廓数据找不到对应的Unicode，就返回默认值0,Chinese parts: 就返回默认值
5766,source_code,app\src\main\java\io\legado\app\model\analyzeRule\QueryTTF.java,1039,,水平制表符,,"case 0x0009,    // 水平制表符 (Horizontal Tab)",Chinese parts: 水平制表符
5767,source_code,app\src\main\java\io\legado\app\model\analyzeRule\QueryTTF.java,1040,,空格,,"0x0020,    // 空格 (Space)",Chinese parts: 空格
