id,type,file_path,line_number,string_name,original_text,translation,context,notes
4801,source_code,app\src\main\java\io\legado\app\ui\book\read\page\entities\column\ImageColumn.kt,40,,当,,/*以宽度为基准保持图片的原始比例叠加，当div为负数时，允许高度比字符更高*/,Chinese parts: 当
4802,source_code,app\src\main\java\io\legado\app\ui\book\read\page\entities\column\ImageColumn.kt,40,,为负数时,,/*以宽度为基准保持图片的原始比例叠加，当div为负数时，允许高度比字符更高*/,Chinese parts: 为负数时
4803,source_code,app\src\main\java\io\legado\app\ui\book\read\page\entities\column\ImageColumn.kt,40,,允许高度比字符更高,,/*以宽度为基准保持图片的原始比例叠加，当div为负数时，允许高度比字符更高*/,Chinese parts: 允许高度比字符更高
4804,source_code,app\src\main\java\io\legado\app\ui\book\manga\config\MangaFooterConfig.kt,14,,默认靠左,,"eaderInfoBarView.ALIGN_LEFT,//默认靠左",Chinese parts: 默认靠左
4805,source_code,app\src\main\java\io\legado\app\ui\book\manga\entities\MangaPage.kt,4,,总章节位置,,"e val chapterIndex: Int = 0,//总章节位置",Chinese parts: 总章节位置
4806,source_code,app\src\main\java\io\legado\app\ui\book\manga\entities\MangaPage.kt,5,,总章节数量,,"val chapterSize: Int,//总章节数量",Chinese parts: 总章节数量
4807,source_code,app\src\main\java\io\legado\app\ui\book\manga\entities\MangaPage.kt,6,,当前,,"val mImageUrl: String = """",//当前URL",Chinese parts: 当前
4808,source_code,app\src\main\java\io\legado\app\ui\book\manga\entities\MangaPage.kt,7,,当前章节位置,,"override val index: Int = 0,//当前章节位置",Chinese parts: 当前章节位置
4809,source_code,app\src\main\java\io\legado\app\ui\book\manga\entities\MangaPage.kt,8,,当前章节内容总数,,"var imageCount: Int = 0,//当前章节内容总数",Chinese parts: 当前章节内容总数
4810,source_code,app\src\main\java\io\legado\app\ui\book\manga\entities\MangaPage.kt,9,,章节名称,,"l mChapterName: String = """",//章节名称",Chinese parts: 章节名称
4811,source_code,app\src\main\java\io\legado\app\ui\book\info\edit\BookInfoEditViewModel.kt,35,,书籍信息保存失败,,"AppLog.put(""书籍信息保存失败，存在相同书名作者书籍\n$it"", it, true)",Chinese parts: 书籍信息保存失败
4812,source_code,app\src\main\java\io\legado\app\ui\book\info\edit\BookInfoEditViewModel.kt,35,,存在相同书名作者书籍,,"AppLog.put(""书籍信息保存失败，存在相同书名作者书籍\n$it"", it, true)",Chinese parts: 存在相同书名作者书籍
4813,source_code,app\src\main\java\io\legado\app\ui\book\info\edit\BookInfoEditViewModel.kt,37,,书籍信息保存失败,,"AppLog.put(""书籍信息保存失败\n$it"", it, true)",Chinese parts: 书籍信息保存失败
4814,source_code,app\src\main\java\io\legado\app\ui\book\import\local\ImportBookActivity.kt,266,,使用,,"setMessage(""""""使用js处理文件名变量src，将书名作者分别赋值到变量name",Chinese parts: 使用
4815,source_code,app\src\main\java\io\legado\app\ui\book\import\local\ImportBookActivity.kt,266,,处理文件名变量,,"setMessage(""""""使用js处理文件名变量src，将书名作者分别赋值到变量name author""""""",Chinese parts: 处理文件名变量
4816,source_code,app\src\main\java\io\legado\app\ui\book\import\local\ImportBookActivity.kt,266,,将书名作者分别赋值到变量,,"setMessage(""""""使用js处理文件名变量src，将书名作者分别赋值到变量name author"""""")",Chinese parts: 将书名作者分别赋值到变量
4817,source_code,app\src\main\java\io\legado\app\ui\book\import\local\ImportBookAdapter.kt,81,,点击开始阅读,,/* 点击开始阅读 */,Chinese parts: 点击开始阅读
