id,type,file_path,line_number,string_name,original_text,translation,context,notes
4951,source_code,app\src\main\java\io\legado\app\model\analyzeRule\AnalyzeRule.kt,424,,请改为规范格式,Vui lòng sửa lại định dạng chuẩn.,"ebug.log(""≡@put 规则 JSON 格式不规范，请改为规范格式"")",Chinese parts: 请改为规范格式
4952,source_code,app\src\main\java\io\legado\app\model\analyzeRule\AnalyzeRule.kt,442,,获取第一个匹配到的结果并进行替换,Lấy kết quả khớp đầu tiên và thay thế.,,/* ##match##replace### 获取第一个匹配到的结果并进行替换 */,Chinese parts: 获取第一个匹配到的结果并进行替换
4953,source_code,app\src\main\java\io\legado\app\model\analyzeRule\AnalyzeRule.kt,454,,替换,Thay thế,,/* ##match##replace 替换*/,Chinese parts: 替换
4954,source_code,app\src\main\java\io\legado\app\model\analyzeRule\AnalyzeRule.kt,573,,特征很明显,Đặc điểm rõ ràng.,"tr.startsWith(""/"") -> {//XPath特征很明显,无需配置单独的识别标头",Chinese parts: 特征很明显
4955,source_code,app\src\main\java\io\legado\app\model\analyzeRule\AnalyzeRule.kt,573,,无需配置单独的识别标头,Không cần cấu hình tiêu đề nhận diện riêng.,"rtsWith(""/"") -> {//XPath特征很明显,无需配置单独的识别标头",Chinese parts: 无需配置单独的识别标头
4956,source_code,app\src\main\java\io\legado\app\model\analyzeRule\AnalyzeRule.kt,722,,首个字符不可能是,Ký tự đầu tiên không thể là,,n ruleStr.startsWith('@') //js首个字符不可能是@，除非是装饰器，所以@开头规定为规则,Chinese parts: 首个字符不可能是
4957,source_code,app\src\main\java\io\legado\app\model\analyzeRule\AnalyzeRule.kt,722,,除非是装饰器,trừ khi là decorator,,startsWith('@') //js首个字符不可能是@，除非是装饰器，所以@开头规定为规则,Chinese parts: 除非是装饰器
4958,source_code,app\src\main\java\io\legado\app\model\analyzeRule\AnalyzeRule.kt,722,,所以,vì vậy,,ith('@') //js首个字符不可能是@，除非是装饰器，所以@开头规定为规则,Chinese parts: 所以
4959,source_code,app\src\main\java\io\legado\app\model\analyzeRule\AnalyzeRule.kt,722,,开头规定为规则,ở đầu được quy định là quy tắc,,('@') //js首个字符不可能是@，除非是装饰器，所以@开头规定为规则,Chinese parts: 开头规定为规则
4960,source_code,app\src\main\java\io\legado\app\model\analyzeRule\AnalyzeRule.kt,843,,只能在,Chỉ có thể trong,"throw NoStackTraceException(""只能在 preUpdateJs 中调用"")",Chinese parts: 只能在
4961,source_code,app\src\main\java\io\legado\app\model\analyzeRule\AnalyzeRule.kt,843,,中调用,được gọi,"aceException(""只能在 preUpdateJs 中调用"")",Chinese parts: 中调用
4962,source_code,app\src\main\java\io\legado\app\model\analyzeRule\AnalyzeRule.kt,865,,只能在,Chỉ có thể trong,"throw NoStackTraceException(""只能在 preUpdateJs 中调用"")",Chinese parts: 只能在
4963,source_code,app\src\main\java\io\legado\app\model\analyzeRule\AnalyzeRule.kt,865,,中调用,được gọi,"aceException(""只能在 preUpdateJs 中调用"")",Chinese parts: 中调用
4964,source_code,app\src\main\java\io\legado\app\model\analyzeRule\AnalyzeUrl.kt,180,,先替换内嵌规则再替换页数规则,Thay thế quy tắc nhúng trước, sau đó thay thế quy tắc số trang,,te fun replaceKeyPageJs() { //先替换内嵌规则再替换页数规则，避免内嵌规则中存在大于小于号时，规则被切错,Chinese parts: 先替换内嵌规则再替换页数规则
4965,source_code,app\src\main\java\io\legado\app\model\analyzeRule\AnalyzeUrl.kt,180,,避免内嵌规则中存在大于小于号时,Tránh trường hợp quy tắc nhúng chứa dấu lớn hơn/nhỏ hơn,,eyPageJs() { //先替换内嵌规则再替换页数规则，避免内嵌规则中存在大于小于号时，规则被切错,Chinese parts: 避免内嵌规则中存在大于小于号时
4966,source_code,app\src\main\java\io\legado\app\model\analyzeRule\AnalyzeUrl.kt,180,,规则被切错,quy tắc bị cắt sai,,替换内嵌规则再替换页数规则，避免内嵌规则中存在大于小于号时，规则被切错,Chinese parts: 规则被切错
4967,source_code,app\src\main\java\io\legado\app\model\analyzeRule\AnalyzeUrl.kt,183,,创建解析,Tạo phân tích,,yze = RuleAnalyzer(ruleUrl) //创建解析,Chinese parts: 创建解析
4968,source_code,app\src\main\java\io\legado\app\model\analyzeRule\AnalyzeUrl.kt,200,,等同于,Tương đương với,,ize) { //pages[pages.size - 1]等同于pages.last(),Chinese parts: 等同于
4969,source_code,app\src\main\java\io\legado\app\model\analyzeRule\AnalyzeUrl.kt,227,,链接参数,Tham số liên kết,"log(""链接参数 JSON 格式不规范，请改为规范格式"")",Chinese parts: 链接参数
4970,source_code,app\src\main\java\io\legado\app\model\analyzeRule\AnalyzeUrl.kt,227,,格式不规范,định dạng không chuẩn,"log(""链接参数 JSON 格式不规范，请改为规范格式"")",Chinese parts: 格式不规范
4971,source_code,app\src\main\java\io\legado\app\model\analyzeRule\AnalyzeUrl.kt,227,,请改为规范格式,vui lòng sửa lại định dạng chuẩn,"log(""链接参数 JSON 格式不规范，请改为规范格式"")",Chinese parts: 请改为规范格式
4972,source_code,app\src\main\java\io\legado\app\model\analyzeRule\AnalyzeUrl.kt,606,,每次调用,Mỗi lần gọi,,/* 每次调用getXX cookieJar已经保存过了,Chinese parts: 每次调用
4973,source_code,app\src\main\java\io\legado\app\model\analyzeRule\AnalyzeUrl.kt,606,,已经保存过了,đã được lưu,,/* 每次调用getXX cookieJar已经保存过了,Chinese parts: 已经保存过了
4974,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,6,,被处理字符串,Chuỗi đang xử lý,,te var queue: String = data //被处理字符串,Chinese parts: 被处理字符串
4975,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,7,,当前处理到的位置,Vị trí đang xử lý,,private var pos = 0 //当前处理到的位置,Chinese parts: 当前处理到的位置
4976,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,8,,当前处理字段的开始,Bắt đầu trường đang xử lý,,private var start = 0 //当前处理字段的开始,Chinese parts: 当前处理字段的开始
4977,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,9,,当前规则的开始,Bắt đầu quy tắc hiện tại,,private var startX = 0 //当前规则的开始,Chinese parts: 当前规则的开始
4978,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,11,,分割出的规则列表,Danh sách quy tắc đã tách,,rule = ArrayList<String>()  //分割出的规则列表,Chinese parts: 分割出的规则列表
4979,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,12,,分割字符的长度,Độ dài ký tự phân tách,,private var step: Int = 0 //分割字符的长度,Chinese parts: 分割字符的长度
4980,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,13,,当前分割字符串,Chuỗi phân tách hiện tại,,"var elementsType = """" //当前分割字符串",Chinese parts: 当前分割字符串
4981,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,15,,修剪当前规则之前的,Cắt bỏ trước quy tắc hiện tại,,fun trim() { // 修剪当前规则之前的""@""或者空白符",Chinese parts: 修剪当前规则之前的
4982,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,15,,或者空白符,hoặc khoảng trắng,,fun trim() { // 修剪当前规则之前的""@""或者空白符",Chinese parts: 或者空白符
4983,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,16,,在,Trong,,'@' || queue[pos] < '!') { //在while里重复设置start和startX会拖慢执行速度，,Chinese parts: 在
4984,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,16,,里重复设置,lặp lại cài đặt,,| queue[pos] < '!') { //在while里重复设置start和startX会拖慢执行速度，所以先来个判断是否存,Chinese parts: 里重复设置
4985,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,16,,和,và,,s] < '!') { //在while里重复设置start和startX会拖慢执行速度，所以先来个判断是否存在需要修剪的,Chinese parts: 和
4986,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,16,,会拖慢执行速度,sẽ làm chậm tốc độ thực thi,,') { //在while里重复设置start和startX会拖慢执行速度，所以先来个判断是否存在需要修剪的字段，最后再一次性设置st,Chinese parts: 会拖慢执行速度
4987,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,16,,所以先来个判断是否存在需要修剪的字段,vì vậy trước tiên hãy kiểm tra xem có trường nào cần cắt bỏ không,,while里重复设置start和startX会拖慢执行速度，所以先来个判断是否存在需要修剪的字段，最后再一次性设置start和startX,Chinese parts: 所以先来个判断是否存在需要修剪的字段
4988,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,16,,最后再一次性设置,sau đó thiết lập một lần,,rtX会拖慢执行速度，所以先来个判断是否存在需要修剪的字段，最后再一次性设置start和startX,Chinese parts: 最后再一次性设置
4989,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,16,,和,và,,先来个判断是否存在需要修剪的字段，最后再一次性设置start和startX,Chinese parts: 和
4990,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,19,,开始点推移,Điểm bắt đầu dịch chuyển,,start = pos //开始点推移,Chinese parts: 开始点推移
4991,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,20,,规则起始点推移,Điểm bắt đầu quy tắc dịch chuyển,,startX = pos //规则起始点推移,Chinese parts: 规则起始点推移
4992,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,36,,将处理到的位置设置为规则起点,Đặt vị trí đã xử lý làm điểm bắt đầu quy tắc,,start = pos //将处理到的位置设置为规则起点,Chinese parts: 将处理到的位置设置为规则起点
4993,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,51,,声明新变量记录匹配位置,Khai báo biến mới để ghi lại vị trí khớp,,var pos = pos //声明新变量记录匹配位置，不更改类本身的位置,Chinese parts: 声明新变量记录匹配位置
4994,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,51,,不更改类本身的位置,không thay đổi vị trí của lớp,,var pos = pos //声明新变量记录匹配位置，不更改类本身的位置,Chinese parts: 不更改类本身的位置
4995,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,57,,间隔数,Số khoảng cách,,step = s.length //间隔数,Chinese parts: 间隔数
4996,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,58,,匹配成功,Khớp thành công,,"this.pos = pos //匹配成功, 同步处理位置到类",Chinese parts: 匹配成功
4997,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,58,,同步处理位置到类,đồng bộ vị trí xử lý vào lớp,,"this.pos = pos //匹配成功, 同步处理位置到类",Chinese parts: 同步处理位置到类
4998,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,59,,匹配就返回,Trả về nếu khớp,,return true //匹配就返回 true,Chinese parts: 匹配就返回
4999,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,63,,逐个试探,Thử từng cái một,,pos++ //逐个试探,Chinese parts: 逐个试探
5000,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,75,,声明新变量记录匹配位置,Khai báo biến mới để ghi lại vị trí khớp,,var pos = pos //声明新变量记录匹配位置，不更改类本身的位置,Chinese parts: 声明新变量记录匹配位置
