id,type,file_path,line_number,string_name,original_text,translation,context,notes
5001,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,75,,不更改类本身的位置,Không thay đổi vị trí của chính lớp.,,var pos = pos //声明新变量记录匹配位置，不更改类本身的位置,Chinese parts: 不更改类本身的位置
5002,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,79,,匹配则返回位置,Nếu khớp, trả về vị trí.,,queue[pos] == s) return pos //匹配则返回位置,Chinese parts: 匹配则返回位置
5003,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,81,,逐个试探,Thử từng cái một.,,pos++ //逐个试探,Chinese parts: 逐个试探
5004,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,93,,声明临时变量记录匹配位置,Khai báo biến tạm để ghi lại vị trí khớp.,,var pos = pos //声明临时变量记录匹配位置，匹配成功后才同步到类的pos,Chinese parts: 声明临时变量记录匹配位置
5005,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,93,,匹配成功后才同步到类的,Chỉ đồng bộ với lớp sau khi khớp thành công.,,var pos = pos //声明临时变量记录匹配位置，匹配成功后才同步到类的pos,Chinese parts: 匹配成功后才同步到类的
5006,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,95,,嵌套深度,Độ sâu lồng ghép.,,var depth = 0 //嵌套深度,Chinese parts: 嵌套深度
5007,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,96,,其他对称符合嵌套深度,Độ sâu lồng ghép của các ký tự đối xứng khác.,,var otherDepth = 0 //其他对称符合嵌套深度,Chinese parts: 其他对称符合嵌套深度
5008,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,98,,单引号,Dấu nháy đơn.,,var inSingleQuote = false //单引号,Chinese parts: 单引号
5009,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,99,,双引号,Dấu nháy kép.,,var inDoubleQuote = false //双引号,Chinese parts: 双引号
5010,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,104,,非转义字符,Ký tự không thoát.,,if (c != ESC) { //非转义字符,Chinese parts: 非转义字符
5011,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,105,,匹配具有语法功能的单引号,Khớp dấu nháy đơn có chức năng cú pháp.,,ingleQuote = !inSingleQuote //匹配具有语法功能的单引号,Chinese parts: 匹配具有语法功能的单引号
5012,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,106,,匹配具有语法功能的双引号,Khớp dấu nháy kép có chức năng cú pháp.,,oubleQuote = !inDoubleQuote //匹配具有语法功能的双引号,Chinese parts: 匹配具有语法功能的双引号
5013,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,108,,语法单元未匹配结束,Đơn vị cú pháp chưa khớp xong.,,|| inDoubleQuote) continue //语法单元未匹配结束，直接进入下个循环,Chinese parts: 语法单元未匹配结束
5014,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,108,,直接进入下个循环,Chuyển thẳng sang vòng lặp kế tiếp.,,leQuote) continue //语法单元未匹配结束，直接进入下个循环,Chinese parts: 直接进入下个循环
5015,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,110,,开始嵌套一层,Bắt đầu lồng ghép một cấp.,,if (c == '[') depth++ //开始嵌套一层,Chinese parts: 开始嵌套一层
5016,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,111,,闭合一层嵌套,Đóng một cấp lồng ghép.,,else if (c == ']') depth-- //闭合一层嵌套,Chinese parts: 闭合一层嵌套
5017,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,120,,拉出一个平衡字串,Trích xuất chuỗi cân bằng.,,epth > 0 || otherDepth > 0) //拉出一个平衡字串,Chinese parts: 拉出一个平衡字串
5018,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,123,,同步位置,Đồng bộ vị trí.,,this.pos = pos //同步位置,Chinese parts: 同步位置
5019,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,133,,声明临时变量记录匹配位置,Khai báo biến tạm để ghi lại vị trí khớp.,,var pos = pos //声明临时变量记录匹配位置，匹配成功后才同步到类的pos,Chinese parts: 声明临时变量记录匹配位置
5020,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,133,,匹配成功后才同步到类的,Chỉ đồng bộ với lớp sau khi khớp thành công.,,var pos = pos //声明临时变量记录匹配位置，匹配成功后才同步到类的pos,Chinese parts: 匹配成功后才同步到类的
5021,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,134,,嵌套深度,Độ sâu lồng ghép.,,var depth = 0 //嵌套深度,Chinese parts: 嵌套深度
5022,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,135,,单引号,Dấu nháy đơn.,,var inSingleQuote = false //单引号,Chinese parts: 单引号
5023,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,136,,双引号,Dấu nháy kép.,,var inDoubleQuote = false //双引号,Chinese parts: 双引号
5024,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,141,,匹配具有语法功能的单引号,Khớp dấu nháy đơn có chức năng cú pháp.,,ingleQuote = !inSingleQuote //匹配具有语法功能的单引号,Chinese parts: 匹配具有语法功能的单引号
5025,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,142,,匹配具有语法功能的双引号,Khớp dấu nháy kép có chức năng cú pháp.,,oubleQuote = !inDoubleQuote //匹配具有语法功能的双引号,Chinese parts: 匹配具有语法功能的双引号
5026,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,144,,语法单元未匹配结束,Đơn vị cú pháp chưa khớp xong.,,|| inDoubleQuote) continue //语法单元未匹配结束，直接进入下个循环,Chinese parts: 语法单元未匹配结束
5027,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,144,,直接进入下个循环,Chuyển thẳng sang vòng lặp kế tiếp.,,leQuote) continue //语法单元未匹配结束，直接进入下个循环,Chinese parts: 直接进入下个循环
